x0,y0,x1,y1,x2,y2,x3,y3
"(780.5, 504.5)","(445.5, 462.0)","(446.0, 462.0)"
"(782.5, 477.5)","(443.5, 465.0)","(443.0, 465.0)"
"(779.0, 465.5)","(441.5, 466.5)","(441.5, 467.0)"
"(777.5, 447.0)","(440.0, 468.0)","(440.5, 468.0)"
"(776.0, 439.0)","(439.0, 468.0)","(439.5, 468.0)"
"(773.0, 431.5)","(440.0, 467.5)","(439.5, 468.0)"
"(770.0, 423.5)","(440.0, 467.5)","(440.5, 467.0)"
"(771.5, 416.0)","(441.0, 466.5)","(440.5, 467.0)"
"(774.0, 417.5)","(439.5, 465.5)","(439.5, 465.5)"
"(775.0, 420.5)","(439.0, 467.0)","(439.0, 467.0)"
"(777.0, 425.0)","(440.0, 468.5)","(439.5, 468.5)"
"(778.0, 424.5)","(439.5, 470.5)","(439.5, 471.0)"
"(778.5, 423.5)","(436.5, 475.5)","(436.5, 475.0)"
"(784.5, 424.0)","(434.0, 477.5)","(434.0, 477.5)"
"(785.5, 428.0)","(432.5, 481.5)","(432.0, 480.5)"
"(791.5, 423.0)","(431.0, 485.5)","(429.5, 485.0)"
"(797.0, 413.5)","(428.0, 488.5)","(428.5, 488.5)"
"(801.0, 414.5)","(427.0, 490.5)","(427.5, 490.0)"
"(811.5, 422.0)","(427.5, 491.0)","(427.5, 490.5)"
"(820.5, 435.0)","(427.5, 492.0)","(428.0, 491.0)"
"(834.5, 465.0)","(427.5, 493.0)","(428.5, 493.0)"
"(833.0, 481.5)","(429.0, 495.5)","(428.5, 494.0)"
"(831.5, 480.0)","(430.0, 495.5)","(430.0, 495.5)"
"(834.0, 481.0)","(430.5, 495.0)","(429.5, 495.5)"
"(836.0, 481.5)","(429.5, 495.0)","(429.5, 496.0)"
"(838.5, 481.0)","(431.0, 496.0)","(431.0, 496.0)"
"(841.0, 480.5)","(431.5, 498.0)","(432.0, 497.0)"
"(842.5, 480.5)","(433.5, 499.5)","(432.5, 499.0)"
"(845.5, 480.5)","(436.0, 500.5)","(435.0, 500.0)"
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
x0,y0,x1,y1,x2,y2,x3,y3
"(643.5, 257.0)","(382.0, 194.5)","(597.0, 498.0)"
"(643.0, 258.5)","(384.0, 194.0)","(603.5, 495.5)"
"(644.0, 258.0)","(386.0, 191.0)","(605.0, 497.0)"
"(644.0, 258.0)","(387.5, 189.0)","(606.5, 498.5)"
"(645.5, 257.0)","(388.5, 184.5)","(606.5, 499.0)"
"(646.0, 255.5)","(390.0, 180.5)","(605.0, 500.5)"
"(646.0, 255.0)","(390.5, 180.5)","(603.5, 503.0)"
"(646.5, 254.0)","(389.5, 177.5)","(604.0, 502.5)"
"(646.0, 250.0)","(385.0, 172.0)","(604.0, 500.5)"
"(646.5, 248.0)","(384.5, 167.0)","(602.5, 497.0)"
"(647.0, 244.0)","(385.0, 162.5)","(600.0, 493.0)"
"(649.0, 242.0)","(384.5, 158.0)","(596.5, 490.0)"
"(651.0, 240.0)","(385.0, 156.0)","(590.0, 486.0)"
"(654.5, 236.5)","(384.0, 152.5)","(582.5, 481.5)"
"(658.5, 233.5)","(383.0, 149.0)","(580.0, 479.5)"
"(662.5, 231.0)","(382.0, 145.0)","(578.0, 476.5)"
"(664.0, 228.5)","(380.5, 142.0)","(577.0, 475.0)"
"(666.5, 226.5)","(379.0, 137.0)","(576.5, 473.0)"
"(668.0, 224.0)","(379.0, 134.5)","(576.5, 470.0)"
"(669.5, 221.0)","(377.5, 133.5)","(575.5, 468.0)"
"(670.0, 220.5)","(375.5, 129.0)","(575.0, 467.0)"
"(671.0, 217.0)","(375.0, 124.5)","(574.0, 464.5)"
"(671.0, 217.0)","(376.0, 121.5)","(573.5, 463.0)"
"(672.0, 213.5)","(376.5, 117.5)","(573.0, 461.5)"
"(672.5, 212.0)","(376.0, 113.0)","(572.5, 459.5)"
"(673.0, 208.0)","(374.5, 106.5)","(571.0, 458.0)"
"(674.0, 207.0)","(372.5, 102.0)","(569.0, 454.5)"
"(673.5, 203.5)","(370.5, 96.5)","(569.0, 452.5)"
"(673.0, 201.5)","(370.0, 92.0)","(567.5, 450.0)"
"(672.5, 198.5)","(369.5, 88.0)","(566.5, 448.5)"
"(673.0, 196.0)","(369.5, 83.5)","(565.0, 446.5)"
"(671.5, 194.0)","(370.0, 79.0)","(562.5, 444.0)"
"(667.5, 193.0)","(370.0, 75.0)","(561.5, 442.0)"
"(666.5, 191.5)","(368.5, 71.0)","(560.0, 440.0)"
"(666.5, 191.0)","(367.0, 67.5)","(559.0, 438.0)"
"(666.5, 188.5)","(365.5, 65.0)","(557.0, 438.0)"
"(666.5, 188.5)","(365.0, 62.0)","(555.5, 434.5)"
"(665.5, 190.0)","(365.5, 58.0)","(555.5, 434.5)"
"(665.0, 191.0)","(366.0, 55.5)","(554.0, 431.5)"
"(665.0, 193.0)","(366.5, 53.5)","(552.5, 431.0)"
"(664.0, 192.5)","(367.0, 51.5)","(552.5, 429.5)"
"(663.5, 191.0)","(369.0, 49.0)","(550.0, 425.5)"
"(662.5, 189.5)","(371.5, 48.5)","(549.5, 423.0)"
"(660.0, 186.5)","(372.5, 47.5)","(548.5, 420.0)"
"(656.5, 183.0)","(373.5, 46.0)","(548.5, 419.0)"
"(655.0, 179.0)","(376.0, 43.0)","(550.0, 418.0)"
"(652.5, 177.0)","(377.0, 39.0)","(551.0, 415.5)"
"(650.5, 174.0)","(378.5, 34.5)","(551.0, 413.0)"
"(651.0, 172.0)","(378.5, 32.5)","(553.5, 412.5)"
"(650.5, 170.5)","(380.0, 27.5)","(554.0, 410.0)"
"(650.0, 170.0)","(380.5, 27.0)","(555.0, 409.5)"
"(648.5, 166.5)","(379.5, 24.0)","(555.5, 407.0)"
"(649.0, 165.5)","(377.5, 23.5)","(557.5, 406.0)"
"(648.0, 163.0)","(378.0, 20.5)","(559.5, 404.5)"
"(646.0, 159.5)","(380.0, 19.0)","(561.0, 403.5)"
"(644.0, 157.5)","(381.5, 17.5)","(565.0, 405.0)"
"(644.0, 156.0)","(383.0, 16.5)","(569.0, 406.5)"
"(642.5, 152.5)","(385.0, 17.0)","(569.5, 409.0)"
"(640.5, 151.5)","(388.5, 21.0)","(573.0, 407.5)"
"(638.0, 151.0)","(394.5, 25.5)","(578.5, 407.0)"
"(637.0, 149.0)","(398.0, 25.5)","(580.5, 407.5)"
"(635.5, 148.5)","(400.0, 26.5)","(582.0, 407.5)"
"(635.5, 147.0)","(399.0, 27.0)","(583.0, 407.0)"
"(634.5, 146.5)","(398.0, 26.5)","(584.5, 406.5)"
"(635.0, 144.0)","(398.0, 26.5)","(588.0, 406.5)"
"(634.5, 143.0)","(398.5, 27.0)","(591.0, 408.5)"
"(634.0, 141.0)","(398.5, 26.5)","(592.0, 408.5)"
